Question,Answer,SMART Question,Advisor Answer
My bank often blocks my card during purchases  what is the most reliable bank card? UK,"I have had my card blocked at home only rarely. One occasion comes to mind  I had bought something fairly large online late at night. No sooner had I clicked Purchase than my phone rang  the bank was asking had I actually just spent [amount] at [online store]? I said yes and that was that. A little later I made another purchase late at night on a different card. It went through, but when I tried to use the card the next day for something small in a store, it was declined. Embarrassed, I used a different card then called the bank. They said they had put the card on hold because of the online purchase for a large amount, even though they had let the purchase go through. They hadnt called me because it was late at night, and they hadnt given themselves any reasonable mechanisms to compensate for that like calling me the next morning, emailing me, or the like theyd just blocked the card. We had what you might call a frank and open exchange of views on the matter. Not all banks use the same strategies or software. I suggest Far and away the simplest thing is just to have more than one card so that these declines are a momentary hiccup you might forget by the time you and your Rolex are out of the store.",What are the specific considerations and implications related to: My bank often blocks my card during purchases  what is the most reliable bank card? UK?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
Looking to buy a house in 12 years. Does starting a Roth IRA now make sense?,"If you are going to be buying a house in 12 years, I would be putting my money into a short term holding area like a high interest which isnt that high right now or a CD also low interest because of your nearterm need. I wouldnt use the Roth option for your down payment money. If you invest in something volatile and stocksmutual funds are very volatile in a 12 year term I would consider it too risky for your need and time frame.",What are the specific considerations and implications related to: Looking to buy a house in 12 years. Does starting a Roth IRA now make sense?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
What is most timeefficient way to track portfolio asset allocation?,"If you have enough assets at T Rowe Price, you get what I think is a scaled back version of the portfolio tracker for free.",What are the specific considerations and implications related to: What is most timeefficient way to track portfolio asset allocation?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
Selling Stock  All or Nothing?,"When my orders fill, Ill often see a 1000 shares go through over 46 transactions, with a few cents difference high to low, but totaling the transaction cost, it adds to one commission say 10 for my broker. Are you sure a series of partial fills would result in as many as 20 commissions?",What are the specific considerations and implications related to: Selling Stock  All or Nothing?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
Can my broker lock my cash account if I try to use the money from a stock sale during the threeday settlement period?,"Brokerage firms must settle funds promptly, but theres no explicit definition for this in U.S. federal law. See for example, this article on settling trades in three days. Wikipedia also has a good writeup on T3. It is common practice, however. It takes approximately three days for the funds to be available to me, in my Canadian brokerage account. That said, the software itself prevents me from using funds which are not available, and Im rather surprised yours does not. You want to be careful not to be labelled a pattern day trader, if that is not your intention. Others can better fill you in on the consequences of this. I believe it will not apply to you unless you are using a margin account. All but certainly, the terms of service that you agreed to with this brokerage will specify the conditions under which they can lock you out of your account, and when they can charge interest. If they are selling your stock at times you have not authorised via explicit instruction or via a stoploss order, you should file a complaint with the S.E.C. and with sufficient documentation. You will need to ensure your cancelstoploss order actually went through, though, and the stock was sold anyway. It could simply be that it takes a full business day to cancel such an order.",What are the specific considerations and implications related to: Can my broker lock my cash account if I try to use the money from a stock sale during the threeday settlement period?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
"How to invest in gold at market value, i.e. without paying a markup?","And you have hit the nail on the head of holding gold as an alternative to liquid currency. There is simply no way to reliably buy and sell physical gold at the spot price unless you have millions of dollars. Exhibit A The stock symbol GLD is an ETF backed by gold. Its shares are redeemable for gold if you have more than 100,000 shares then you can be assisted by an ""Authorized Participant"". Read the funds details. Less than 100,000 shares? no physical gold for you. With GLDs share price being 155.55 this would mean you need to have over 15 million dollars, and be financially solvent enough to be willing to exchange the liquidity of shares and dollars for illiquid gold, that you wouldnt be able to sell at a fair price in smaller denominations. The ETF trades at a different price than the gold spot market, so you technically are dealing with a spread here too. Exhibit B The futures market. Accepting delivery of a gold futures contract also requires that you get 1000 units of the underlying asset. This means 1000 gold bars which are currently 1,610.70 each. This means you would need 1,610,700 that you would be comfortable with exchanging for gold bars, which In contrast, securitized gold gold in an ETF, for instance can be hedged very easily, and one can sell covered calls to negate transaction fees, hedge, and collect dividends from the fund. quickly recuperating any ""spread tax"" that you encounter from opening the position. Also, leverage no bank would grant you a loan to buy 4 to 20 times more gold than you can actually afford, but in the stock market 4  20 times your account value on margin is possible and in the futures market 20 times is pretty normal ""initial margin and maintenance margin"", effectively bringing your access to the spot market for physical gold more so within reach. caveat emptor.","What are the specific considerations and implications related to: How to invest in gold at market value, i.e. without paying a markup?",This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
Previous owner of my home wants to buy it back but the propertys value is less than my loan what to do?,"I would tell the former owner that you will sell him the house for you current loan balance. He wants the home, he may be willing to pay what you owe. You cant really do a short sale unless you are behind on your payments. Banks only agree to a short sale when they think they are going to have to foreclose on the property. Not to mention a short sale is almost as bad as a foreclosure and will wreck your credit. If the former buying is not willing to buy the house for what you owe your only real option is to come up with the difference. If he offers you say 50K less than you owe, you will have to give the mortgage holder the remaining balance 50K in this example for them to release the property. Another problem you will face, if the former owner is willing to pay more than what the house is worth, and he is going to finance it, he will have to have enough cash to put down so that the loan amount is not more than the property is worth. Finally if none of that works you can just hold on to the property until the value comes up or you mortgage is payed down enough to make the balance of the mortgage less than the value of the house. Then offer the property to the former owner again.",What are the specific considerations and implications related to: Previous owner of my home wants to buy it back but the propertys value is less than my loan what to do?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
Do altcoin trades count as likekind exchanges? Deferred capital gains tax,"In June 2016 the American Institute of CPAs sent a letter to the IRS requesting guidance on this question. Quoting from section 4 of this letter, which is available at httpswww.aicpa.orgadvocacytaxdownloadabledocumentsaicpacommentletteronnotice201421virtualcurrency61016.pdf If the IRS believes any property transaction rules should apply differently to virtual currency than to other types of property, taxpayers will need additional guidance in order to properly distinguish the rules and regulations. Section 4, QA1 of Notice 201421 states that general tax principles applicable to property transactions apply to transactions using virtual currency, which is guidance that is generally helpful in determining the tax consequences of most virtual currency transactions. However, if there are particular factors that distinguish one virtual currency as likekind to another virtual currency for section 1031 purposes, the IRS should clarify these details e.g., allowing the treatment of virtual currency held for investment or business as likekind to another virtual currency in the form of published guidance. Similarly, taxpayers need specific guidance of special rules or statutory interpretations if the IRS determines that the installment method of section 453 is applied differently for virtual currency than for other types of property. So, at the very least, a peerreviewed committee of CPAs finds likekind treatment to have possible grounds for allowance. I would disagree with calling this a ""loophole,"" however edit at least from the viewpoint of the taxpayer. At a base technological level, a virtual currencytovirtual currency exchange consists of exchanging knowledge of one sequence of binary digits private key for another. What could be more ""likekind"" than this?",What are the specific considerations and implications related to: Do altcoin trades count as likekind exchanges? Deferred capital gains tax?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
"Why invest for the longterm rather than buy and sell for quick, big gains?","The stock markets principal justification is matching investors with investment opportunities. Thats only reasonably feasible with longterm investments. High frequency traders are not interested in investments, they are interested in buying cheap and selling expensive. Holding reasonably robust shares for longer binds their capital which is one reason the fasterpaced business of dealing with options is popular instead. So their main manner of operation is leeching off actually occuring investments by letting the investors pay more than the recipients of the investments receive. By now, the majority of stock market business is indirect and tries guessing where the money goes rather than where the business goes. For one thing, this leads to the stock markets evaluations being largely inflated over the actual underlying committed deals happening. And as the commitment to an investment becomes rare, the market becomes more volatile and instable its money running in circles. Fast trading is about running in front of where the money goes, anticipating the market. But if there is no actual market to anticipate, only people running before the imagination of other people running before money, the net payout converges to zero as the ratio of serious actual investments in tangible targets declines. By and large, high frequency trading converges to a Ponzi scheme, and you try being among the winners of such a scheme. But there are a whole lot of people competing here, and essentially the net payoff is close to zero due to the large volumes in circulation as opposed to what ends up in actual tangible investments. Its a completely different game with different rules riding on the original idea of a stock market. So you have to figure out what your money should be doing according to your plans.","What are the specific considerations and implications related to: Why invest for the longterm rather than buy and sell for quick, big gains?",This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
Do I pay a zero  loan before another to clear both loans faster?,"See many past answers you will usually save the most money by paying off the highestintetestrate loan first. Remember to allow for tax effects, if any, when comparing real interest rates. Some folks are more motivated to simplify their finances than to save money in that case you might pay off the smallest loan first.",What are the specific considerations and implications related to: Do I pay a zero  loan before another to clear both loans faster?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
How to finance my trading strategy in foreign exchange trading?,"how can I get started knowing that my strategy opportunities are limited and that my capital is low, but the success rate is relatively high? A margin account can help you ""leverage"" a small amount of capital to make decent profits. Beware, it can also wipe out your capital very quickly. Forex trading is already highrisk. Leveraged Forex trading can be downright speculative. Im curious how you arrived at the 96 success ratio. As Jason R has pointed out, 12 trades a year for 7 years would only give you 714 trades. In order to get a success rate of 96 you would have had to successful exploit this ""irregularity"" at 24 out of 25 times. I recommend you proceed cautiously. Make the transition from a paper trader to a profitseeking trader slowly. Use a low leverage ratio until you can make several more successful trades and then slowly increase your leverage as you gain confidence. Again, be very careful with leverage it can either greatly increase or decrease the relatively small amount of capital you have.",What are the specific considerations and implications related to: How to finance my trading strategy in foreign exchange trading?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
What is the economic explanation for the high cost of weddings?,"There is the price they want and the price you pay. Everything is negotiable when its a service always possible, but usually harder with actual ""goods"". You should always haggle and price match your vendors. You can also try going to different vendors and not telling them its for a wedding and see if there really is a price difference. For example, call up a florist and say you need X, Y, and Z for a corporate banquet or for a special event for which you cannot give the details. If you then tell them its actually a wedding, and they blindly raise it without a good justification, move on. That said, they jack up the price because they know most people will says ""its my wedding"", ""its once in a lifetime"", ""its MY special day"", etc.... The same is true about diamonds, their price does not reflect the actual supply and demand ratio, just the perception that has been created. However, as mentioned in some of the comments above, the service provided at a wedding may be different or more involved than just a normal dinner The more important issue is ensuring there are no back fees, no hidden fees, and you have well written, well reviewed contracts. For example, we know a couple whose caterer added a mandatory 20 gratuity, regardless of the service which was provided. Most venues or restaurants will not be making the bar a loseleader, but they will charge for other things. You can also save money by buying used or looking on ebay for prices closer to wholesale for the product. I think a good analogy to this is the Recent Time Magazine article on the price of healthcare  it costs a lot because its a small market and its harder to navigate, and most are not experienced shoppers in the area or dont have control over the individual item costs.",What are the specific considerations and implications related to: What is the economic explanation for the high cost of weddings?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
"A guy scammed me, but he gave me a bank account number  routing number. Can I use that to take out what he owes me?","Youre potentially in very deep water here. You dont know who this person is that youre dealing with. Before youd even met him, he just gave you his banking info, seemingly without a second thought. You have no idea what the sources of his money are, so what happens if the money is stolen or otherwise illegal? If it is determined that you used any of that money, youll be on the hook to return it, at the very least. Who knows what the legal ramifications are either? So it sounds like you began spending his money before you had any kind of written agreement in place? Doesnt that seem odd to you to have someone just so trusting as to not even ask for that? Was the source of the email about the 2500 from PayPal, or from him or his advisor? PayPal always sends you a notice directly when funds are received into your account, and even if they were going to put a temporary hold on them for whatever reason sometimes they do that, it would still show up in your account. I would HIGHLY can I be more emphatic? advise you not to go anywhere NEAR his bank account until or unless you can absolutely verify who he is, where his money comes from, and what the situation is. If you start dipping into his account, whether you think youre somehow entitled to the money or not, he could cry foul and have you arrested for theft. This is a very odd situation, and for someone who says hes normally cautious and skeptical, you sure let your guard down here when you started spending his money without making any serious effort to confirm his bona fides. Just because he passes himself off as smart and the ""doctor type"" doesnt mean squat. The very best scammers can do that ever see the movie ""Catch Me If You Can"", based on a true story?, so you have no basis for knowing hes anything at all. I am thoroughly confused as to why youd just willfully start using his money without knowing anything about him. Thats deeply disconcerting, because youve opened yourself up to a world of potential criminal and civil liability if this situation goes south. If this guy was giving you money as an investment in your business and you instead used some of that money for your own personal expenses then you could land in very serious trouble for comingling of funds. Even if he told you it was okay, it doesnt sound like theres anything in writing, so he could just as easily deny giving you permission to use the money that way and have you charged with embezzlement. You need to step back, take a deep breath, stop using his money, and contact a lawyer for advice. Every attorney will give you a free consultation, and you need to protect yourself here. Be careful, my friend. If this makes you suspicious then you need to listen to that voice in your head and find a way to get out of this situation.","What are the specific considerations and implications related to: A guy scammed me, but he gave me a bank account number  routing number. Can I use that to take out what he owes me?",This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
Debit card funds on preauthorization hold to paypal can it be used for another transaction?,You said the hold would last a week. Thats your answer. No you cant spend it again until the hold clears.,What are the specific considerations and implications related to: Debit card funds on preauthorization hold to paypal can it be used for another transaction?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
"In general, is it financially better to buy or to rent a house?","I just read through all of the answers to this question and there is an important point that no one has mentioned yet Oftentimes, buying a house is actually cheaper than renting the identical house. Im looking around my area suburbs of Chicago, IL in 2017 and seeing some houses that are both for sale and for rent, which makes for an easy comparison. If I buy the house with 0 down you cant actually put 0 down but it makes the numerical comparison more accurate if you do, my monthly payment including mortgage PI, taxes, insurance, and HOA, is still 400 less than the monthly rent payment. If I put 20 down its an even bigger savings. So, in addition to the the tax advantages of owning a home, the locked in price that helps you in an economy that experiences inflation, and the accumulated equity, you may even have extra cash flow too. If you were on the fence when you would have had to pay more per month in order to purchase, it should be a nobrainer to buy if your monthly cost is lower. From the original question Get a loan and buy a house, or I can live for the rest of my life in rent and save the extra money investing and stuff. Well, you may be able to buy a house and save even more money than if you rent. Of course, this is highly dependent on your location.","What are the specific considerations and implications related to: In general, is it financially better to buy or to rent a house?",This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
Why is auto insurance ridiculously overpriced for those who drive few miles?,"Many services charge prices that do not scale linearly with usage. This is because the service provider has fixed costs that they must recoup by charging a rate with a fixed component. A 5mile taxi ride is unlikely to cost half what a 10mile taxi ride costs. Even a half sandwich at a sandwich place usually costs more than half of what a full sandwich costs. In this respect, insurance is no different from many other items you may purchase.",What are the specific considerations and implications related to: Why is auto insurance ridiculously overpriced for those who drive few miles?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
"Did an additional 32 billion necessarily get invested into Amazon.com stock on October 26th, 2017?",Stock A last traded at 100. Stock A has 1 million shares outstanding. No seller is willing to sell Stock A for less than 110 a share. One buyer is willing to buy 1 share for 110. The order executes. The buyer pays the seller 110. Stock As new price is 110. An 110 investment increased the market cap by 10 million. Neat trick for all who own Stock A.,"What are the specific considerations and implications related to: Did an additional 32 billion necessarily get invested into Amazon.com stock on October 26th, 2017?",This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
How to read a mutual fund spec sheet?,"It says expense ratio of 0.14. What does it mean? Essentially it means that they will take 0.14 of your money, regardless of the performance. This measures how much money the fund spends out of its assets on the regular management expenses. How much taxes will I be subject to This depends on your personal situation, not much to do with the fund though investmentrebalancing policies may affect the taxable distributions. If you hold it in your IRA  there will be no taxes at all. However, some funds do have measures of nontaxable distributions vs dividends vs. capital gains. Not all the funds do that, and these are very rough estimates anyway. What is considered to be a reasonable expense ratio? That depends greatly on the investment policy. For passive index funds, 0.050.5 is a reasonable range, while for actively managed funds it can go up as much as 2 and higher. You need to compare to other funds with similar investment policies to see where your fund stands.",What are the specific considerations and implications related to: How to read a mutual fund spec sheet?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
How can I tell what is real Motley Fool advice?,"The Fools have a range of advice from commonsense to speculative, aimed at different audiences one hopes. As always, dont take anyones word for it think it through and decide whether the riskreward ratio is really in your favor and how much you can afford to risk. Theyre good on the basics, but the more advanced they get, the more risk there is that theyve got it wrong. That last is true of any advisor unless they have information that the rest of us dont. You can learn some things from their explanations of their reasoning without necessarily taking their conclusions as gospel.",What are the specific considerations and implications related to: How can I tell what is real Motley Fool advice?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
Account that is debited and account that is credited,Credited to your account means amount has been deposited to your accountthis will be your income. Debited from your account means withdrawn from your accountThis will be your expense. Hope this clarifies your question. Regards Jayanthi,What are the specific considerations and implications related to: Account that is debited and account that is credited?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
How can one get their FICOcredit scores for free? really free,"Check with your bank. As of January, 2015, the following banks and credit unions are offering free creditscores Announced, in the pipeline Source Banks to offer FICO credit scores for free Personal Experience Ive been receiving free FICO score from my credit union for more than 6 months now. Advice Most people have multiple bankcreditunion accounts. The FICO score will be the same whoever offers it. If none of your financial institutions offer you a free creditscore then you may opt for free services like creditkarma.com or other paid services. None of them are the widely used FICO scores, but they can be a good gauge of your credit standing. Please note that a creditscore is number summarizing your creditreport and should not be confused. In the news",What are the specific considerations and implications related to: How can one get their FICOcredit scores for free? really free?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
How does my broker optionsXpress calculate probabilities that the stock will hit a certain price?,"This chart concerns an option contract, not a stock. The method of analysis is to assume that the price of an option contract is normally distributed around some mean which is presumably the current price of the underlying asset. As the date of expiration of the contract gets closer the variation around the mean in the possible end price for the contract will decrease. Undoubtedly the publisher has measured typical deviations from the mean as a function of time until expiration from historical data. Based on this data, the program that computes the probability has the following inputs 1 the mean current asset price 2 the time until expiration 3 the expected standard deviation based on 2 With this information the probability distribution that you see is generated the green hump. This is a ""normal"" or Gaussian distribution. For a normal distribution the probability of a particular event is equal to the area under the curve to the right of the value line in the example above the value chosen is 122.49. This area can be computed with the formula This formula is called the probability density for x, where x is the value 122.49 in the example above. Tau T is the reciprocal of the variance which can be computed from the standard deviation. Mu  is the mean. The main assumption such a calculation makes is that the price of the asset will not change between now and the time of expiration. Obviously that is not true in most cases because the prices of stocks and bonds constantly fluctuate. A secondary assumption is that the distribution of the option price around the mean will a normal or Gaussian distribution. This is obviously a crude assumption and common sense would suggest it is not the most accurate distribution. In fact, various studies have shown that the Burr Distribution is actually a more accurate model for the distribution of option contract prices.",What are the specific considerations and implications related to: How does my broker optionsXpress calculate probabilities that the stock will hit a certain price?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
"If I have no exemptions or deductions, just a simple paycheck, do I HAVE to file taxes?","As a Canadian resident, the simple answer to your question is ""yes"" Having worked as a tax auditor and as a Certified Financial Planner, you are required to file an income tax return because you have taxable employment income. All the employer is doing is deducting it at source and remitting it on your behalf. That does not alleviate your need to file. In fact, if you dont file you will be subject to a no filing penalty. The one aspect you are missing is that taxpayers may be entitled to tax credits that may result in a refund to you depending on your personal situation e.g spousal or minor dependents. I hope this helps.","What are the specific considerations and implications related to: If I have no exemptions or deductions, just a simple paycheck, do I HAVE to file taxes?",This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
Help Understanding MarketLimit Orders and BidAsk Price,"Your logic breaks down because you assume that you are the only market participant on your side of the book and that the participant on the other side of the book has entered a market order. Heres what mostly happens Large banks and brokerages trading with their own money we call it proprietary or ""prop"" trading will have a number of limit and other, more exotic orders sitting on both sides of the trading book waiting to buy or sell at a price that they feel is advantageous. Some of these orders will have sat on the book for many months if not years. These alone are likely to prevent your limit orders executing as they are older so will be hit first even if they arent at a better price. On more liquid stocks there will also be a number of participants entering market orders on both sides of the book whose orders are matched up before limit orders are matched with any market orders. This means that pairing of market orders, at a better price, will prevent your limit order executing. In many markets high frequency traders looking for arbitrage opportunities for example will enter a few thousand orders a minute, some of these will be limit orders just off touch, others will be market orders to be immediately executed. The likelihood that your limit order, being as it is posited way off touch, is hit with all those traders about is minimal. On less liquid stocks there are market makers large institutional traders who effectively set the bid and offer prices by being willing to provide liquidity and fill the market orders at a temporary loss to themselves and will, in most cases, have limit orders set to provide this liquidity that will be close to touch. They are paid to do this by the exchange and interdealer brokers through their fees structure. They will fill the market orders that would hit your limit if they think that it would provide more liquidity in such a way that it fulfils their obligations. Only if there are no other participants looking to trade on the instrument at a better price than your limit which, of course they can see unless you enter it into a dark pool AND there is a market order on the opposite side of the book will your limit order be instantaneously be hit, executed, and move the market price.",What are the specific considerations and implications related to: Help Understanding MarketLimit Orders and BidAsk Price?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
What to do with small dividends in brokerage account?,"Some brokerages will allow you to enroll your account in a dividend reinvestment plan  TD Ameritrade and I think Schwab for example. The way the plan works is that they would take your 4 and give you whatever fractional share of the ETF it is worth on the payment date. There are no fees associated with this purchase or at least there are in the programs Ive seen  if you have to pay a fee, look for another brokerage. You may also be able to enroll specific securities instead of the entire account into dividend reinvestment. Call your brokerage to see what they offer.",What are the specific considerations and implications related to: What to do with small dividends in brokerage account?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
Connection between gambling and trading on stockoptionsForex markets,"I think that the answer by jkuz is good. Id add that the theres a mathematically precise difference Gambling games are typically ""zerosum"" games, which means that every dollar won by one person is lost by another. If theres a ""house"" taking a cut then its worse than zerosum, but lets ignore that for the moment. None of the markets that you mentioned are zerosum because its possible for both parties in the transaction to ""win"" since they typically have different objectives. If I buy stock, I typically desire for it to go up to make money, but, if I sell stock, I typically sell it because I want the money to do something else completely. The ""something else"" might be invest in another instrument if I think its better or Im rebalancing risk. It might also be to buy a house, pay for college, or if Im in retirement living on my investments to buy food. If the stock goes up, the buyer won increased investment but the seller also won got the ""other thing"" that they wantedneeded, which they would not have been able to get had there not been a buyer willing to pay cash for the stock. Of course its possible that in some cases not everyone wins because there is risk, but risk should not be considered synonymous with gambling because theres varying degrees of risk in everything you do.",What are the specific considerations and implications related to: Connection between gambling and trading on stockoptionsForex markets?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
Is it necessary to pay tax if someone lends me money to put into my mortgage?,A revocable trust? Else the title would be his...vs recieving a gift that large. Make it a business investment like a holding company. And use the trust as agreement to shares.,What are the specific considerations and implications related to: Is it necessary to pay tax if someone lends me money to put into my mortgage?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
Value of credit score if you never plan to borrow again?,"what are the incentives to that person to actually pay off hisher debt as opposed to just walking away from it and relying on the cash she has for the future spending needs as opposed to borrowing Well, you cant just ""walk away"" from debt  you still owe it. Eventually your creditors would end up suing you in court for the money, plus interest owed. I suppose you could try to continually duck the authorities, but youd still owe the money legally.",What are the specific considerations and implications related to: Value of credit score if you never plan to borrow again?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
Why doesnt Japan just divide the Yen by 100? ,A Yen is like a penny. Buy a chocolate bar 100 or 1.00. Should the UK get rid of pennies and only price things to the pound?,What are the specific considerations and implications related to: Why doesnt Japan just divide the Yen by 100?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
Is avoiding fees commonly found with CFD trading possible?,"The fees with trading CFDs are usually lower than standard share trading. There is usually no joining fee to join a broker and start trading with them, you must be talking about the minimum required to fund your account to trade with. What country are you in? Because if you are in the USA I believe CFD trading is not allowed there. Also there is no margin fee associated with trading CFDs. The margin is what you put in to buy or sell the CFD when you open a position. For example if you were to open a position in a share CFD where the underlying share had a price of 10 and you were looking to buy 1000 units. To buy the shares outright your outlay would be 10000 plus brokerage. If the CFD provider had a 10 margin on these share, then your initial margin to open a CFD position would be 10 of 10000 or 1000. If the price of the shares went up to 11 and you sold the shares you would get 11000 1000 profit, if you sold the CFDs you would get 2000 1000 profit. If on the other hand the shares went down to 9 and you sold the shares you would get 9000 1000 loss, if you sold the CFDs you would get 0 1000 loss. You have to be careful with margin, it is a two edged sword  it can multiply your gains as well as multiply your losses. The only fees you should be charged with CFDs is brokerage which should be less than for share trading, and overnight financing costs. This is charged for everyday you hold a long position overnight. You should not be charge any overnight financing cost for holding short positions overnight, and if interest rates were higher you might actually get paid an overnight financing for holding short positions overnight. You may have been closed out of your bitcoin position because you didnt have enough funds in your trading account to open the size trade that you opened. From your question it seems like you are not ready to trade CFDs, you should really learn more about CFDs and the trading platforms you plan to use before trading with your valuable money. You could probably open up a simulation account whilst you are learning the ropes and become more familiar with the trading platform and with CFDs. And if you are not sure about something ask your broker, they usually have training videos and seminars.",What are the specific considerations and implications related to: Is avoiding fees commonly found with CFD trading possible?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
Can I move my 401k to another country without paying tax penalty?,"hello  I am a natural born US citizen I have worked 35 years in the United States I have a 401k, IRA, Social Security benefits. I have researched the expatriot possibilities for several years. Ive consulted both accountants and tax attorneys. The long answer is hire tax consultantsattorneys to try to shelter what assets you can. 401k, IRA, and Social Security benefits are all taxable worldwide to US citizens. unless you become the citizen of your new country of residence, these taxes are unavoidable. since all of the above assets are considered ""pretax"" to the US government, they are all taxable on distribution whether slowly or in lump sum. the short answer is ""Hotel California"" ""Relax, said the watchman  we are programmed to receive. You can check out any time, but you can never leave""","What are the roles and responsibilities of the administrator, broker, and custodian in managing a Solo 401(k), especially during account setup and IRS reporting?","As the administrator of a Solo 401(k), you're responsible for compliance and IRS reporting. The broker executes trades, and the custodian holds your assets. Schwab often acts as both. You only file Form 5500 once assets exceed $250K."
Best way to buy Japanese yen for travel?,Have you tried calling a Forex broker and asking them if you can take delivery on currency? Their spreads are likely to be much lower than banksATMs.,What are the specific considerations and implications related to: Best way to buy Japanese yen for travel?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
What does it mean if IPOs  normally are sold with an underwriting discount a built in commission,"Also, in the next sentence, what is buyers commission? Is it referring to the share holder? Or potential share holder? And why does the buyer get commission? The buyer doesnt get a commission. The buyer pays a commission. So normally a buyer would say, ""I want to buy a hundred shares at 20."" The broker would then charge the buyer a commission. Assuming 4, the commission would be So the total cost to the buyer is 2080 and the seller receives 2000. The buyer paid a commission of 80 as the buyers commission. In the case of an IPO, the seller often pays the commission. So the buyer might pay 2000 for a hundred shares which have a 7 commission. The brokering agent or agents may share pockets a commission of 140. Total paid to the seller is 1860. Some might argue that the buyer pays either way, as the seller receives money in the transaction. Thats a reasonable outlook. A better way to say this might be that typical trades bill the buyer directly for commission while IPO purchases bill the seller. In the typical trade, the buyer negotiates the commission with the broker. In an IPO, the seller does with the underwriter. Another issue with an IPO is that there are more parties getting commission than just one. As a general rule, you still call your broker to purchase the stock. The broker still expects a commission. But the IPO underwriter also expects a commission. So the 7 commission might be split between the IPO underwriter works for the selling company and the broker works for the buyer. The broker has more work to do than normal. They have to put in the buyers purchase request and manage the price negotiation. In most purchases, you just say something like ""I want to offer 20 a share"" or ""I want to purchase at the market price."" In an IPO, they may increase the price, asking for 25 a share. And they may do that multiple times. Your broker has to come back to you each time and get a new authorization at the higher price. And you still might not get the number of shares that you requested. Beyond all this, you may still be better off buying an IPO than waiting until the next day. Sure, you pay more commission, but you also may be buying at a lower price. If the IPO price is 20 but the price climbs to 30, you would have been better off paying the IPO price even with the higher commission. However, if the IPO price is 20 and the price falls to 19.20, youd be better off buying at 19.20 after the IPO. Even though in that case, youd pay the 4 commission on top of the 19.20, so about 19.97. I think that the overall point of the passage is that the IPO underwriter makes the most money by convincing you to pay as high an IPO price as possible. And once they do that, theyre out of the picture. Your broker will still be your broker later. So the IPO underwriter has a lot of incentive to encourage you to participate in the IPO instead of waiting until the next day. The broker doesnt care much either way. They want you to buy and sell something. The IPO or something else. They dont care much as to what. The underwriter may overprice the stock, as that maximizes their return. If they can convince enough people to overpay, they dont care that the stock falls the day after that. All their marketing effort is to try to achieve that result. They want you to believe that your 20 purchase will go up to 30 the next day. But it might not. These numbers may not be accurate. Obviously the 20 stock price is made up. But the 4 and 7 numbers may also be inaccurate. Modern online brokers are very competitive and may charge a flat fee rather than a percentage. The book may be giving you older numbers that were correct in 1983 or whatever year. The buyers commission could also be lower than 4, as the seller also may be charged a commission. If each pays 2, thats about 4 total but split between a buyers commission and a sellers commission.",What are the specific considerations and implications related to: What does it mean if IPOs  normally are sold with an underwriting discount a built in commission?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
